review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,engagement_score,price_bucket,review_month,age_group,segment
1,Aryan Maharaj,45,Realme,Realme 12 Pro,337.31,27996.73,INR,83.0,2.0,Negative,India,Hindi,2023-11-06,True,1,1,3,2,1,1,Amazon,4,"(178.7, 443.994]",2023-11,36-45,Budget
2,Davi Miguel Sousa,18,Realme,Realme 12 Pro,307.78,1754.35,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-03-30,True,3,2,4,3,2,5,Flipkart,8,"(178.7, 443.994]",2023-03,18-25,Budget
3,Pahal Balay,27,Google,Pixel 6,864.53,71755.99,INR,83.0,4.0,Positive,India,Hindi,2022-12-07,True,3,5,3,2,4,8,AliExpress,11,"(707.968, 971.942]",2022-12,26-35,Upper-mid
4,David Guzman,19,Xiaomi,Redmi Note 13,660.94,2425.65,AED,3.67,3.0,Positive,UAE,English,2025-03-11,False,1,3,2,1,2,3,Amazon,3,"(443.994, 707.968]",2025-03,18-25,Mid-range
5,Yago Leão,38,Motorola,Edge 50,792.13,4515.14,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2023-09-29,True,3,3,2,2,1,0,BestBuy,3,"(707.968, 971.942]",2023-09,36-45,Mid-range
6,Lara Abreu,38,Apple,iPhone 14,948.79,5408.1,BRL,5.7,5.0,Positive,Brazil,Portuguese,2023-06-27,False,5,4,5,5,4,6,AliExpress,6,"(707.968, 971.942]",2023-06,36-45,Premium
7,Gina Moore,40,OnePlus,OnePlus 12,420.13,1541.88,AED,3.67,3.0,Positive,UAE,English,2024-03-27,False,3,3,2,1,2,2,eBay,2,"(178.7, 443.994]",2024-03,36-45,Upper-mid
8,James Howard,39,Apple,iPhone SE,1443.76,2208.95,AUD,1.53,2.0,Negative,Australia,English,2024-04-08,True,2,1,2,2,2,3,Amazon,6,"(1235.916, 1499.89]",2024-04,36-45,Premium
9,Rosalia Beyer,32,Realme,Realme 12 Pro,275.73,256.43,EUR,0.93,4.0,Positive,Germany,German,2024-10-04,False,4,3,2,3,3,8,eBay,8,"(178.7, 443.994]",2024-10,26-35,Budget
10,Valerie Gray,31,OnePlus,OnePlus Nord 3,545.57,834.72,AUD,1.53,3.0,Positive,Australia,English,2025-02-25,True,2,2,3,3,2,4,BestBuy,7,"(443.994, 707.968]",2025-02,26-35,Upper-mid
11,Aimee Hurst-Taylor,20,Realme,Realme 12 Pro,462.3,360.59,GBP,0.78,3.0,Neutral,UK,English,2025-04-05,True,4,1,3,5,2,0,eBay,3,"(443.994, 707.968]",2025-04,18-25,Budget
12,Benjamin Stanley,30,Xiaomi,Mi 13 Pro,495.45,683.72,CAD,1.38,2.0,Neutral,Canada,English,2024-01-14,True,1,2,1,2,1,2,Amazon,5,"(443.994, 707.968]",2024-01,26-35,Mid-range
13,Igor Brito,18,Motorola,Moto G Power,404.64,2306.45,BRL,5.7,5.0,Positive,Brazil,Portuguese,2024-06-03,True,5,5,3,5,5,7,AliExpress,10,"(178.7, 443.994]",2024-06,18-25,Mid-range
14,Mark Diaz,32,Realme,Realme Narzo 70,247.88,342.07,CAD,1.38,2.0,Negative,Canada,English,2024-05-19,False,1,3,2,1,2,2,Unknown,2,"(178.7, 443.994]",2024-05,26-35,Budget
15,Ms Hollie Phillips,39,Samsung,Galaxy Note 20,1146.49,894.26,GBP,0.78,3.0,Neutral,UK,English,2025-09-17,True,2,3,1,2,3,4,BestBuy,7,"(971.942, 1235.916]",2025-09,36-45,Premium
16,Ana Sophia Pereira,19,Realme,Realme Narzo 70,262.0,1493.4,BRL,5.7,2.0,Neutral,Brazil,Portuguese,2025-07-04,False,2,1,2,2,1,3,Flipkart,3,"(178.7, 443.994]",2025-07,18-25,Budget
17,Nicholas Martin,18,Google,Pixel 7a,1010.68,1010.68,USD,1.0,4.0,Positive,USA,English,2024-06-02,True,4,4,3,4,4,11,Flipkart,14,"(971.942, 1235.916]",2024-06,18-25,Upper-mid
18,Henry Rodrigues,39,Motorola,Razr 40,678.98,3870.19,BRL,5.7,2.0,Negative,Brazil,Portuguese,2024-03-08,True,2,1,2,1,1,1,AliExpress,4,"(443.994, 707.968]",2024-03,36-45,Mid-range
19,Erdal Beckmann,18,Xiaomi,Poco X6,432.8,402.5,EUR,0.93,5.0,Positive,Germany,German,2024-02-24,True,4,5,5,3,4,2,Amazon,5,"(178.7, 443.994]",2024-02,18-25,Mid-range
20,Austin Gentry,43,Realme,Realme Narzo 70,403.17,616.85,AUD,1.53,5.0,Positive,Australia,English,2025-03-21,True,5,5,5,5,4,3,eBay,6,"(178.7, 443.994]",2025-03,36-45,Budget
21,Charles Kelly-Morley,46,Apple,iPhone SE,1470.12,1146.69,GBP,0.78,1.0,Negative,UK,English,2025-07-16,False,1,1,1,1,1,3,BestBuy,3,"(1235.916, 1499.89]",2025-07,46-55,Premium
22,Derek Wright,22,Motorola,Razr 40,567.03,782.5,CAD,1.38,5.0,Positive,Canada,English,2025-03-12,True,3,4,5,4,4,5,AliExpress,8,"(443.994, 707.968]",2025-03,18-25,Mid-range
23,Priya Rastogi,53,Motorola,Razr 40,227.18,18855.94,INR,83.0,4.0,Positive,India,Hindi,2024-05-06,True,4,4,3,4,4,9,Amazon,12,"(178.7, 443.994]",2024-05,46-55,Mid-range
24,Zachary Hicks,25,OnePlus,OnePlus Nord 3,395.08,545.21,CAD,1.38,4.0,Positive,Canada,English,2023-03-12,False,4,4,3,3,3,10,Amazon,10,"(178.7, 443.994]",2023-03,18-25,Upper-mid
